Description,List_Price,Model,Milleage,Gear_Type,Location,Price,Mileage,Year,State,Brand,Origin,Engine_L
"2018 Mercedes-Benz C350 e 2.0 Avantgarde AMG Line interior Sedan - Registered in (A) W205, 7G-TRONIC AVATGARDE AMG High Spec CKD Local Brand NEW by Malaysia 1 Owner","RM 109,800",Mercedes-Benz C350 e,85 - 90K KM,Automatic,"Penang, Greenlane",109800.0,87500.0,2018.0,Penang,Mercedes-Benz,Continental,2.0
"2018 Peugeot 3008 1.6 THP Allure SUV - HIGH SPEC FULL SERVICE , ORIGINAL GOOD CONDITION","RM 63,999",Peugeot 3008,95 - 100K KM,Automatic,"Selangor, Puchong",63999.0,97500.0,2018.0,Selangor,Peugeot,Continental,1.6
"2017 Kia Rio 1.4 X Sedan - , ORIGINAL GOOD CODITION , NEW FACELIFT","RM 22,999",Kia Rio,75 - 80K KM,Automatic,"Selangor, Puchong",22999.0,77500.0,2017.0,Selangor,Kia,Asian,1.4
"2013 Subaru XV 2.0 SUV - AUTO ,ONE OWNER, ACCIDENT FREE .LIKE NEW","RM 28,700",Subaru XV,90 - 95K KM,Automatic,"Kuala Lumpur, Jalan Puchong",28700.0,92500.0,2013.0,Kuala Lumpur,Subaru,Asian,2.0
"2014 Mazda 6 2.0 SKYACTIV-G Sedan - , FACELIFT ORIGINAL GOOD CONDITION , FREE ACCIDENT","RM 41,999",Mazda 6,90 - 95K KM,Automatic,"Selangor, Puchong",41999.0,92500.0,2014.0,Selangor,Mazda,Asian,2.0
"2015 Mazda 6 2.0 SKYACTIV-G Sedan - ,High Spec, New Facelift , Original Good Condition Fully Import Model","RM 62,999",Mazda 6,95 - 100K KM,Automatic,"Selangor, Puchong",62999.0,97500.0,2015.0,Selangor,Mazda,Asian,2.0
"2014 Mitsubishi ASX 2.0 SUV - FACELIFT (A)Fully Import Japan , Panaromic Roof , keyless Push Start","RM 35,999",Mitsubishi ASX,95 - 100K KM,Automatic,"Selangor, Puchong",35999.0,97500.0,2014.0,Selangor,Mitsubishi,Asian,2.0
"2016 Mazda 6 2.0 SKYACTIV-G Sedan - ,FACELIFT (A)FULLY IMPORT MODEL , GOOD CONDITION","RM 59,999",Mazda 6,85 - 90K KM,Automatic,"Selangor, Puchong",59999.0,87500.0,2016.0,Selangor,Mazda,Asian,2.0
2015 Honda Civic 1.8 S i-VTEC Sedan - Facelift,"RM 52,800",Honda Civic,85 - 90K KM,Automatic,"Penang, Greenlane",52800.0,87500.0,2015.0,Penang,Honda,Asian,1.8
2019 Perodua AXIA 1.0 G Hatchback - (Percuma Warranty)(Percuma Siap Tukar Nama)()Tahun Dibuat )( Auto)(Biru)(Lady Owner)(Sport Rims)(Rear Spoiler),"RM 28,800",Perodua AXIA,85 - 90K KM,Automatic,"Selangor, Banting",28800.0,87500.0,2019.0,Selangor,Perodua,Asian,1.0
2018 Toyota Hilux 2.4 G Dual Cab Pickup Truck - (Percuma Siap Tukar Nama)(Percuma Warranty)(Tahun Dibuat )( G Auto)(Leather Seats)(Push Start)(1 Owner)(Silver),"RM 90,800",Toyota Hilux,87500 KM,Automatic,"Selangor, Banting",90800.0,87500.0,2018.0,Selangor,Toyota,Asian,2.4
2015 Honda City 1.5 V i-VTEC Sedan - (PercumaSiapTukarNama)(Percuma Warranty)(Tahun Dibuat )( )(Fyll Bodykits)(Fullest Spec)(Touch Screen)(Cruise Control),"RM 45,800",Honda City,85 - 90K KM,Automatic,"Selangor, Banting",45800.0,87500.0,2015.0,Selangor,Honda,Asian,1.5
2014 Proton Saga 1.3 FLX Executive Sedan - (FreeWarranty)(FreeSiapTkrNama)(Tahun Dibuat )( )(DARK BLUE)(SportRims)(AndroidPlayer)(ReverseCamera)(SRS Airbags),"RM 15,800",Proton Saga,95 - 100K KM,Automatic,"Selangor, Banting",15800.0,97500.0,2014.0,Selangor,Proton,Asian,1.3
2013 Perodua Alza 1.5 EZi MPV - (Auto) Good Condition,"RM 27,000",Perodua Alza,140 - 145K KM,Automatic,"Penang, Perai",27000.0,142500.0,2013.0,Penang,Perodua,Asian,1.5
2013 Mazda 6 2.5 SKYACTIV-G Sedan - (A),"RM 49,700",Mazda 6,95965 KM,Automatic,"Selangor, Cheras",49700.0,95965.0,2013.0,Selangor,Mazda,Asian,2.5
2019 Toyota Vellfire 2.5 Z G Edition MPV,"RM 218,800",Toyota Vellfire,55 - 60K KM,Automatic,"Johor, Johor Bahru",218800.0,57500.0,2019.0,Johor,Toyota,Asian,2.5
2013 Land Rover Range Rover Evoque 2.0 Si4 Dynamic SUV,"RM 88,000",Land Rover Range Rover Evoque,65 - 70K KM,Automatic,"Johor, Johor Bahru",88000.0,67500.0,2013.0,Johor,Land Rover,Continental,2.0
2013 BMW 520i 2.0 Sedan - (A) M Sport (With 1 Year Warranty),"RM 63,000",BMW 520i,85 - 90K KM,Automatic,"Johor, Johor Bahru",63000.0,87500.0,2013.0,Johor,BMW,Continental,2.0
2017/2018 BMW 530i 2.0 M Sport Sedan - G30 Full Spec Like New Tip-Top Condition Smart Black Edition,"RM 139,900",BMW 530i,100 - 105K KM,Automatic,"Selangor, Seri Kembangan",139900.0,102500.0,2017.0,Selangor,BMW,Continental,2.0
2015 Subaru XV 2.0 Premium SUV - FACELIFT (A) NO PROCESSING CHARGE,"RM 37,800",Subaru XV,75 - 80K KM,Automatic,"Kuala Lumpur, Cheras",37800.0,77500.0,2015.0,Kuala Lumpur,Subaru,Asian,2.0
2012/2013 Mercedes-Benz C200 CGI 1.8 AMG Sport Sedan - Mercedes Benz C200 (A) CGI BlueEFCY FACELIFT AMG LIMITED EDITION,"RM 42,800",Mercedes-Benz C200 CGI,85 - 90K KM,Automatic,"Kuala Lumpur, Cheras",42800.0,87500.0,2012.0,Kuala Lumpur,Mercedes-Benz,Continental,1.8
2019 Toyota Vellfire 2.5 Z G Edition MPV - BIGSALE FULL SPEC MODELLISTA FULL SPEC 3 EYES SUNROOF 2PD PB,"RM 247,888",Toyota Vellfire,25 - 30K KM,Automatic,"Selangor, Puchong",247888.0,27500.0,2019.0,Selangor,Toyota,Asian,2.5
2019 Toyota Vellfire 2.5 MPV - BIGSALE X CONVERTED ZG FACELIFT Android MODELLISTA 7S 2PD 4WD Captain SEATS,"RM 238,888",Toyota Vellfire,30 - 35K KM,Automatic,"Selangor, Puchong",238888.0,32500.0,2019.0,Selangor,Toyota,Asian,2.5
"2019 Mercedes-Benz C200 1.5 Avantgarde Sedan - , like new ,one owner ,accident free year make","RM 142,000",Mercedes-Benz C200,90 - 95K KM,Automatic,"Selangor, Puchong",142000.0,92500.0,2019.0,Selangor,Mercedes-Benz,Continental,1.5
2013 Honda Civic 2.0 S i-VTEC Sedan - 1 Year Warranty,"RM 39,800",Honda Civic,100 - 105K KM,Automatic,"Kuala Lumpur, Old Klang Road",39800.0,102500.0,2013.0,Kuala Lumpur,Honda,Asian,2.0
"2015 Honda HR-V 1.8 i-VTEC S SUV - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL","RM 49,800",Honda HR-V,100 - 105K KM,Automatic,"Penang, Sungai Nibong",49800.0,102500.0,2015.0,Penang,Honda,Asian,1.8
"2014 Volkswagen Jetta 1.4 TSI Sedan - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL","RM 26,800",Volkswagen Jetta,90 - 95K KM,Automatic,"Penang, Sungai Nibong",26800.0,92500.0,2014.0,Penang,Volkswagen,Continental,1.4
"2016 Mazda 2 1.5 SKYACTIV-G Sedan - (A) - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL","RM 46,800",Mazda 2,85 - 90K KM,Automatic,"Penang, Sungai Nibong",46800.0,87500.0,2016.0,Penang,Mazda,Asian,1.5
"2014 Mazda CX-5 2.0 SKYACTIV-G High Spec SUV - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL","RM 53,800",Mazda CX-5,95 - 100K KM,Automatic,"Penang, Sungai Nibong",53800.0,97500.0,2014.0,Penang,Mazda,Asian,2.0
"2017 Perodua Bezza 1.3 Advance Premium Sedan - (A) - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL","RM 32,800",Perodua Bezza,110 - 115K KM,Automatic,"Penang, Sungai Nibong",32800.0,112500.0,2017.0,Penang,Perodua,Asian,1.3
"2014 Nissan Sylphy 1.8 VL Sedan - (A) - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL","RM 35,800",Nissan Sylphy,120 - 125K KM,Automatic,"Penang, Sungai Nibong",35800.0,122500.0,2014.0,Penang,Nissan,Asian,1.8
"2017 Honda CR-V 1.5 TC-P VTEC SUV - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL","RM 98,800",Honda CR-V,85 - 90K KM,Automatic,"Penang, Sungai Nibong",98800.0,87500.0,2017.0,Penang,Honda,Asian,1.5
"2019 Proton X70 1.8 TGDI Executive SUV - REMARK-1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL","RM 63,800",Proton X70,85 - 90K KM,Automatic,"Penang, Sungai Nibong",63800.0,87500.0,2019.0,Penang,Proton,Asian,1.8
2020 Toyota Granace 2.8 MPV - Carlist Qualified Premium,"RM 298,000",Toyota Granace,15 - 20K KM,Automatic,"Kuala Lumpur, Chan Sow Lin",298000.0,17500.0,2020.0,Kuala Lumpur,Toyota,Asian,2.8
2018/2019 Mazda CX-3 2.0 SKYACTIV GVC SUV - FACELIFT CBU FROM JAPAN IMPORT BARU UNIT FULL SERVICE RECORD LOW MILEAGE,"RM 82,999",Mazda CX-3,50 - 55K KM,Automatic,"Selangor, Puchong",82999.0,52500.0,2018.0,Selangor,Mazda,Asian,2.0
"2018/2022 MINI 3 Door 2.0 John Cooper Works Hatchback - FACELIFT MODEL, REGISTER 2022 RECOND FROM JAPAN, CAR KING OFFER RAMADHAN SALE","RM 149,999",MINI 3 Door,35 - 40K KM,Automatic,"Selangor, Puchong",149999.0,37500.0,2018.0,Selangor,MINI,Continental,2.0
"2019 Honda Jazz 1.5 E i-VTEC Hatchback - SUPER LOW MILEAGE FULL SERVICE RECORD 3XK ONLY, FACELIFT MODEL WARRANTY PROVIDED","RM 62,999",Honda Jazz,30 - 35K KM,Automatic,"Selangor, Puchong",62999.0,32500.0,2019.0,Selangor,Honda,Asian,1.5
"2020 Honda Civic 1.8 S i-VTEC Sedan - FACELIFT MODEL, TYPE R BODYKITS, RAYA OFFER","RM 92,999",Honda Civic,25 - 30K KM,Automatic,"Selangor, Puchong",92999.0,27500.0,2020.0,Selangor,Honda,Asian,1.8
"2016 Nissan Almera 1.5 VL Sedan - FACELIFT MODEL, NISMO BODYKITS, 1 OWNER CAR KING WARRANTY PROVIDED, RAYA SALE","RM 29,999",Nissan Almera,95 - 100K KM,Automatic,"Selangor, Puchong",29999.0,97500.0,2016.0,Selangor,Nissan,Asian,1.5
"2015/2020 Lexus IS250 2.5 F Sport Sedan - SUNROOF, 2 TONE LEATHER SEAT, REGISTER 2020, FACELIFT BODYKITS, NICE CALIPERS","RM 139,999",Lexus IS250,80 - 85K KM,Automatic,"Selangor, Puchong",139999.0,82500.0,2015.0,Selangor,Lexus,Asian,2.5
2014 Perodua Alza 1.5 SE MPV - (FreeWarranty)(FreeSiapTkrNama)(TahunDibuat)( )(WHITE)(7aters)(Full Bodykits)(Low Mileage)(ZS Facelift)(SportRims)(1LadyOwner),"RM 33,800",Perodua Alza,90 - 95K KM,Automatic,"Selangor, Banting",33800.0,92500.0,2014.0,Selangor,Perodua,Asian,1.5
2013 Proton Preve 1.6 CFE Premium Sedan - (Free Warranty)(Free Siap Tukar Nama)(Tahun Dibuat )( Turbo)(SILVER)(SportRims)(PaddleShift)(PushStart),"RM 18,800",Proton Preve,130 - 135K KM,Automatic,"Selangor, Banting",18800.0,132500.0,2013.0,Selangor,Proton,Asian,1.6
2015 Honda Accord 2.4 i-VTEC Sedan - (Percuma Warranty)(Percuma Siap Tukar Nama)(Tahun Dibuat )( )(MODULO Bodykits)(Leather Seats)(EARTH DREAMS),"RM 57,800",Honda Accord,115 - 120K KM,Automatic,"Selangor, Banting",57800.0,117500.0,2015.0,Selangor,Honda,Asian,2.4
2017 Honda City 1.5 S i-VTEC Sedan - (FreeWarranty)(FreeSiapTkrNama)(Tahun Dibuat )( New FACELIFT)(SILVER)(PUSH START)(SPORTRIMS)(1 LADY OWNER)(ANDROID PLAYER),"RM 51,800",Honda City,70 - 75K KM,Automatic,"Selangor, Banting",51800.0,72500.0,2017.0,Selangor,Honda,Asian,1.5
2013 Proton Saga 1.3 FLX Standard Sedan - (Percuma Siap Tukar Nama)(Percuma Warranty)(Tahun Dibuat )( FLX Auto)(Silver)(One Lady Owner),"RM 14,300",Proton Saga,115 - 120K KM,Automatic,"Selangor, Banting",14300.0,117500.0,2013.0,Selangor,Proton,Asian,1.3
2019 BMW X1 2.0 sDrive20i Sport Line SUV,"RM 115,000",BMW X1,30 - 35K KM,Automatic,"Johor, Johor Bahru",115000.0,32500.0,2019.0,Johor,BMW,Continental,2.0
2019 BMW 530i 2.0 M Sport Sedan,"RM 190,000",BMW 530i,55 - 60K KM,Automatic,"Johor, Johor Bahru",190000.0,57500.0,2019.0,Johor,BMW,Continental,2.0
2019 Volkswagen Tiguan 1.4 280 TSI Highline SUV,"RM 89,800",Volkswagen Tiguan,65 - 70K KM,Automatic,"Johor, Johor Bahru",89800.0,67500.0,2019.0,Johor,Volkswagen,Continental,1.4
"2022 Toyota Alphard 2.5 G S C Package MPV - MODELLISTA WTY 2025 ,CRYSTAL WHITE IN COLOUR,POWER BOOT, FULL LEATHER SEATS,REVERSE CAMERA,ONE DATIN OWNER","RM 238,500",Toyota Alphard,25 - 30K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang",238500.0,27500.0,2022.0,Kuala Lumpur,Toyota,Asian,2.5
2013 Kia Cerato 1.6 Sedan - FULL LEATHER MEMORY SEAT,"RM 25,800",Kia Cerato,140 - 145K KM,Automatic,"Kuala Lumpur, Cheras",25800.0,142500.0,2013.0,Kuala Lumpur,Kia,Asian,1.6
2013 Mazda 6 2.5 SKYACTIV-G Sedan - BOSE SOUND SYSTEM,"RM 42,800",Mazda 6,125 - 130K KM,Automatic,"Kuala Lumpur, Cheras",42800.0,127500.0,2013.0,Kuala Lumpur,Mazda,Asian,2.5
2013 Volkswagen Beetle 1.2 TSI Coupe - The FULL SERVICE,"RM 45,800",Volkswagen Beetle,125 - 130K KM,Automatic,"Kuala Lumpur, Cheras",45800.0,127500.0,2013.0,Kuala Lumpur,Volkswagen,Continental,1.2
2013 Volkswagen Beetle 1.2 TSI Coupe - The WELL MAINTAIN,"RM 44,800",Volkswagen Beetle,125 - 130K KM,Automatic,"Kuala Lumpur, Cheras",44800.0,127500.0,2013.0,Kuala Lumpur,Volkswagen,Continental,1.2
"2017 Mercedes-Benz C200 2.0 AMG Sedan - , 60K KM FULL SERVICE RECORD , WELL KEPT , SHOWROOM CONDITION","RM 133,000",Mercedes-Benz C200,55 - 60K KM,Automatic,"Selangor, Petaling Jaya",133000.0,57500.0,2017.0,Selangor,Mercedes-Benz,Continental,2.0
2019 Haval H2 1.5 Premium SUV - COMFIRM TURBO (A),"RM 45,800",Haval H2,50 - 55K KM,Automatic,"Selangor, Kajang",45800.0,52500.0,2019.0,Selangor,Haval,Asian,1.5
2017 Land Rover Range Rover Sport 5.0 SVR SUV - FACELIFT 575BHP 1YR Warranty No Processing Fee No Accident No Flood 2018,"RM 499,999",Land Rover Range Rover Sport,40 - 45K KM,Automatic,"Kuala Lumpur, TTDI",499999.0,42500.0,2017.0,Kuala Lumpur,Land Rover,Continental,5.0
2015 Mercedes-Benz GLA200 1.6 SUV - Y MERCEDES BENZ Facelift TURBO LIKE NEW,"RM 79,800",Mercedes-Benz GLA200,80 - 85K KM,Automatic,"Kuala Lumpur, Ampang Hilir",79800.0,82500.0,2015.0,Kuala Lumpur,Mercedes-Benz,Continental,1.6
"2017/2019 Lexus RX200t 2.0 F Sport SUV - IMPORT RECOND, REGISTER 2019, HIGHEST SPEC, RED INTERIOR, SUNROOF, POWER BOOT, PRE CRASH RX 300 WARRANTY PROVIDED","RM 219,999",Lexus RX200t,65 - 70K KM,Automatic,"Selangor, Puchong",219999.0,67500.0,2017.0,Selangor,Lexus,Asian,2.0
2021 Ford MUSTANG 2.3 High Performance Coupe - Unregister New Facelift 330hp 10-Speed Auto B O Sound System Apple Carplay Digital Meter Exhaust Sport,"RM 278,000",Ford MUSTANG,35 - 40K KM,Automatic,"Kuala Lumpur, Cheras",278000.0,37500.0,2021.0,Kuala Lumpur,Ford,Continental,2.3
2015 Toyota Vellfire 2.5 Z A Edition MPV,"RM 155,800",Toyota Vellfire,135 - 140K KM,Automatic,"Selangor, Puchong",155800.0,137500.0,2015.0,Selangor,Toyota,Asian,2.5
2017 Toyota Camry 2.5 Hybrid Luxury Sedan - FACELIFT WARRANTY,"RM 79,800",Toyota Camry,85 - 90K KM,Automatic,"Kuala Lumpur, Cheras",79800.0,87500.0,2017.0,Kuala Lumpur,Toyota,Asian,2.5
2020 Volkswagen Tiguan 1.4 280 TSI Highline SUV - POWER BOOT MEMORY SEAT PADDLE SHIFT,"RM 85,800",Volkswagen Tiguan,65 - 70K KM,Automatic,"Kuala Lumpur, Cheras",85800.0,67500.0,2020.0,Kuala Lumpur,Volkswagen,Continental,1.4
2013 Kia Cerato 2.0 Sedan - SUN ROOF NO PROCESSING CHARGE,"RM 28,800",Kia Cerato,125 - 130K KM,Automatic,"Kuala Lumpur, Cheras",28800.0,127500.0,2013.0,Kuala Lumpur,Kia,Asian,2.0
2014 Mercedes-Benz A250 2.0 Sport Hatchback - AMG (A) NO PROCESSING CHARGE 1 OWNER,"RM 83,800",Mercedes-Benz A250,105 - 110K KM,Automatic,"Kuala Lumpur, Cheras",83800.0,107500.0,2014.0,Kuala Lumpur,Mercedes-Benz,Continental,2.0
2021 Toyota Granace 2.8 Premium MPV - Carlist Qualified 8 Seater,"RM 308,000",Toyota Granace,10 - 15K KM,Automatic,"Kuala Lumpur, Chan Sow Lin",308000.0,12500.0,2021.0,Kuala Lumpur,Toyota,Asian,2.8
2022 Toyota Noah 2.0 S-Z MPV - Carlist Qualified G,"RM 178,000",Toyota Noah,5 - 10K KM,Automatic,"Kuala Lumpur, Chan Sow Lin",178000.0,7500.0,2022.0,Kuala Lumpur,Toyota,Asian,2.0
2021 Toyota Granace 2.8 Premium MPV - Carlist Qualified,"RM 308,000",Toyota Granace,5 - 10K KM,Automatic,"Kuala Lumpur, Chan Sow Lin",308000.0,7500.0,2021.0,Kuala Lumpur,Toyota,Asian,2.8
2022 Toyota Noah 2.0 S-Z MPV - Carlist Qualified Low miles 5A,"RM 188,000",Toyota Noah,0 - 5K KM,Automatic,"Kuala Lumpur, Chan Sow Lin",188000.0,2500.0,2022.0,Kuala Lumpur,Toyota,Asian,2.0
2021 Lexus RX300 2.0 F Sport SUV,"RM 298,000",Lexus RX300,15 - 20K KM,Automatic,"Kuala Lumpur, Chan Sow Lin",298000.0,17500.0,2021.0,Kuala Lumpur,Lexus,Asian,2.0
2022 Toyota Noah 2.0 S-Z MPV - Carlist Qualified G,"RM 178,000",Toyota Noah,0 - 5K KM,Automatic,"Kuala Lumpur, Chan Sow Lin",178000.0,2500.0,2022.0,Kuala Lumpur,Toyota,Asian,2.0
2021 Toyota Alphard 2.5 G S C Package MPV - Carlist Qualified SC FULLY SPEC,"RM 285,000",Toyota Alphard,10 - 15K KM,Automatic,"Kuala Lumpur, Chan Sow Lin",285000.0,12500.0,2021.0,Kuala Lumpur,Toyota,Asian,2.5
2014 Perodua Myvi 1.3 SX Hatchback - Y (M) like new,"RM 16,800",Perodua Myvi,75 - 80K KM,Manual,"Kuala Lumpur, Ampang Hilir",16800.0,77500.0,2014.0,Kuala Lumpur,Perodua,Asian,1.3
2013 Mercedes-Benz A250 2.0 Sport Hatchback - LOCAL (WITH 1 YEAR WARRANTY),"RM 73,888",Mercedes-Benz A250,85 - 90K KM,Automatic,"Selangor, Klang",73888.0,87500.0,2013.0,Selangor,Mercedes-Benz,Continental,2.0
2015 Mazda 2 1.5 SKYACTIV-G Sedan - (A),"RM 41,800",Mazda 2,105 - 110K KM,Automatic,"Penang, Bukit Mertajam",41800.0,107500.0,2015.0,Penang,Mazda,Asian,1.5
2015 Proton Perdana 2.0 E Sedan - (A),"RM 37,800",Proton Perdana,95 - 100K KM,Automatic,"Penang, Bukit Mertajam",37800.0,97500.0,2015.0,Penang,Proton,Asian,2.0
2021 Lexus RX300 2.0 F Sport SUV,"RM 298,000",Lexus RX300,15 - 20K KM,Automatic,"Kuala Lumpur, Chan Sow Lin",298000.0,17500.0,2021.0,Kuala Lumpur,Lexus,Asian,2.0
"2013 Volkswagen Jetta 1.4 TSI Sedan - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL","RM 22,800",Volkswagen Jetta,120 - 125K KM,Automatic,"Penang, Sungai Nibong",22800.0,122500.0,2013.0,Penang,Volkswagen,Continental,1.4
2017 MINI Clubman 2.0 John Cooper Works Wagon - ALL4 LOCAL JCW (FULL SERVICE RECORD 43K KM HARMAN KARDON JCW BREMBO HEADUP DISPLAY) 2018,"RM 188,888",MINI Clubman,40 - 45K KM,Automatic,"Selangor, Klang",188888.0,42500.0,2017.0,Selangor,MINI,Continental,2.0
2021 Mazda CX-8 2.5 SKYACTIV-G Mid SUV - Y G MID FSR U WRRNTY LIKE NEW,"RM 135,800",Mazda CX-8,70 - 75K KM,Automatic,"Kuala Lumpur, Ampang Hilir",135800.0,72500.0,2021.0,Kuala Lumpur,Mazda,Asian,2.5
2016 Mercedes-Benz C350 e 2.0 Avantgarde AMG Line interior Sedan - AMG Hybrid Warranty 2025 360 Camera 19 R Multi-Spoke AMG Wheel Burmester Sound System Smooth Engine Clean Interior,"RM 99,999",Mercedes-Benz C350 e,95 - 100K KM,Automatic,"Kuala Lumpur, Cheras",99999.0,97500.0,2016.0,Kuala Lumpur,Mercedes-Benz,Continental,2.0
2016/2017 Audi Q3 1.4 TFSI SUV - Facelift (POWER BOOT)(1 Year Warranty)(SuperB condition),"RM 69,588",Audi Q3,75 - 80K KM,Automatic,"Selangor, Seri Kembangan",69588.0,77500.0,2016.0,Selangor,Audi,Continental,1.4
2015 Mercedes-Benz A45 AMG 2.0 4MATIC Hatchback,"RM 163,800",Mercedes-Benz A45 AMG,80 - 85K KM,Automatic,"Selangor, Kajang",163800.0,82500.0,2015.0,Selangor,Mercedes-Benz,Continental,2.0
2016 Renault Koleos 2.5 SUV - Auto Tip top condition,"RM 58,888",Renault Koleos,60 - 65K KM,Automatic,"Selangor, Puchong",58888.0,62500.0,2016.0,Selangor,Renault,Continental,2.5
2014 Proton Saga 1.3 FLX Executive Sedan - (Percuma Warranty)(Percuma Siap Tuykar Nama)(Tahun Dibuat )( )(Auto)(One Owner),"RM 15,800",Proton Saga,105 - 110K KM,Automatic,"Selangor, Banting",15800.0,107500.0,2014.0,Selangor,Proton,Asian,1.3
2019 Proton Saga 1.3 Premium Sedan - (Percuma Siap Tukar Nama)(Percuma Warranty)(Tahun Dibuat )( Auto)(Leather Seats)(Android Player)(Reverse Camera),"RM 27,800",Proton Saga,70 - 75K KM,Automatic,"Selangor, Banting",27800.0,72500.0,2019.0,Selangor,Proton,Asian,1.3
2016 Honda City 1.5 E i-VTEC Sedan - (Full Service Record)(Percuma Siap Tukar Nama)(Percuma Warranty)(Tahun Dibuat )( Auto)(Push Start)(Rear AirCond,"RM 45,800",Honda City,85 - 90K KM,Automatic,"Selangor, Banting",45800.0,87500.0,2016.0,Selangor,Honda,Asian,1.5
2018 Perodua Myvi 1.3 X Hatchback - (Percuma Warranty)(Percuma SIap Tukar Nama)(Tahun Dibuat )( Auto)(Rear Spoiler)(Lady Owner)(Push Start)(Warna Puteh),"RM 37,800",Perodua Myvi,65 - 70K KM,Automatic,"Selangor, Banting",37800.0,67500.0,2018.0,Selangor,Perodua,Asian,1.3
2013/2014 Honda Accord 2.0 i-VTEC VTi Sedan - Cash Out 10k Free 1 Year Warranty,"RM 44,800",Honda Accord,130 - 135K KM,Automatic,"Penang, Greenlane",44800.0,132500.0,2013.0,Penang,Honda,Asian,2.0
"2013 Toyota Vios 1.5 E Sedan - NEW YEAR OFFER , 1 LADY OWNER, SUPER CONDITION, RECORD SERVIS ADA, HARGA OFFER NEGO SAMPAI JADI, LEATHER SEAT","RM 31,999",Toyota Vios,115 - 120K KM,Automatic,"Selangor, Puchong",31999.0,117500.0,2013.0,Selangor,Toyota,Asian,1.5
"2014/2016 Land Rover Range Rover Sport 3.0 HSE Dynamic SUV - RANGE ROVER SVR BODYKITS , POWER BOOT, AIR SUSPENSION SUPERCHARGED","RM 199,999",Land Rover Range Rover Sport,85 - 90K KM,Automatic,"Selangor, Puchong",199999.0,87500.0,2014.0,Selangor,Land Rover,Continental,3.0
"2014 Kia Sportage 2.0 SUV - , PANAROMIC SUNROOF, ELECTRIC LEATHER SEAT, REVERSE CAMERA, KING, NEGO SAMPAI OFFER, PROVIDED WARRANTY","RM 37,999",Kia Sportage,120 - 125K KM,Automatic,"Selangor, Puchong",37999.0,122500.0,2014.0,Selangor,Kia,Asian,2.0
"2013 Kia Optima K5 2.0 Sedan - , KEYLESS PUSH START, 6 SPEED AUTO, SUNROOF, CBU IMPORT BARU, CAR KING CONDITION, OFFER NOW","RM 36,999",Kia Optima K5,95 - 100K KM,Automatic,"Selangor, Puchong",36999.0,97500.0,2013.0,Selangor,Kia,Asian,2.0
"2014 Hyundai Tucson 2.0 Sport SUV - , PANAROMIC SUNROOF, KEYLESS PUSH START, LEATHER SEAT, ANDROID PLAYER, CAR KING","RM 35,999",Hyundai Tucson,90 - 95K KM,Automatic,"Selangor, Puchong",35999.0,92500.0,2014.0,Selangor,Hyundai,Asian,2.0
2013/2014 Volkswagen Golf 2.0 GTi Pure Hatchback - GTi Just Serviced Free Wrnty 1 Owner,"RM 85,888",Volkswagen Golf,100 - 105K KM,Automatic,"Selangor, Petaling Jaya",85888.0,102500.0,2013.0,Selangor,Volkswagen,Continental,2.0
2015 BMW 320i 2.0 Sport Line Sedan,"RM 79,800",BMW 320i,80 - 85K KM,Automatic,"Johor, Johor Bahru",79800.0,82500.0,2015.0,Johor,BMW,Continental,2.0
2019 Honda Civic 1.8 S i-VTEC Sedan,"RM 89,800",Honda Civic,70 - 75K KM,Automatic,"Johor, Johor Bahru",89800.0,72500.0,2019.0,Johor,Honda,Asian,1.8
2016 Honda Civic 1.5 TC VTEC Premium Sedan,"RM 86,800",Honda Civic,65 - 70K KM,Automatic,"Johor, Johor Bahru",86800.0,67500.0,2016.0,Johor,Honda,Asian,1.5
2014 Mercedes-Benz A200 1.6 Hatchback,"RM 75,800",Mercedes-Benz A200,95 - 100K KM,Automatic,"Johor, Johor Bahru",75800.0,97500.0,2014.0,Johor,Mercedes-Benz,Continental,1.6
2017/2019 Proton Perdana 2.4 Sedan - K24 ELECTRIC LEATHER SEAT PADDLE SHIFT MICHELIN TYRE,"RM 44,800",Proton Perdana,70 - 75K KM,Automatic,"Kuala Lumpur, Cheras",44800.0,72500.0,2017.0,Kuala Lumpur,Proton,Asian,2.4
