Description,List_Price,Model,Mileage,Gear_Type,Location,Price,Year,State,Brand,Origin,Engine_L,Car_Age,Log_Price,Annual_Mileage,Has_Warranty
2021 Toyota Hilux 2.4 E Dual Cab Pickup - UNDER WARRANTY UNTIL 03 2026,"RM 75,800",Toyota Hilux,117500.0,Automatic,"Kuala Lumpur, Batu Caves / Selayang",75800.0,2021.0,Kuala Lumpur,Toyota,Asian,2.4,4.0,11.235866764155578,29375.0,1
2019 Toyota Vios 1.5 G Sedan - (A) FACELIFT NSP151 FULL SPEC FULL BODYKIT 360 3D R CAMERA DASH CAM FULL LEATHER PUSHSTART KEY LES,"RM 46,800",Toyota Vios,57500.0,Automatic,"Selangor, Seri Kembangan",46800.0,2019.0,Selangor,Toyota,Asian,1.5,6.0,10.753659849198824,9583.333333333334,0
2013 Nissan Almera 1.5 E Sedan - impul,"RM 17,790",Nissan Almera,157500.0,Automatic,"Selangor, Banting",17790.0,2013.0,Selangor,Nissan,Asian,1.5,12.0,9.786447990434775,13125.0,0
2017 Perodua Myvi 1.5 AV Hatchback - Adv,"RM 32,800",Perodua Myvi,92500.0,Automatic,"Kuala Lumpur, Setapak",32800.0,2017.0,Kuala Lumpur,Perodua,Asian,1.5,8.0,10.39821428171237,11562.5,0
2018/2019 BMW X5 2.0 xDrive40e M Sport SUV - Year Reg 2019 Malaysia Ser Record EXTENTION HYBRID BATTERY till 2027 by n 3 yrs car WARRANTY White Premium Edition,"RM 99,000",BMW X5,72500.0,Automatic,"Selangor, Petaling Jaya",99000.0,2018.0,Selangor,BMW,Continental,2.0,7.0,11.502885230075814,10357.142857142857,1
2017 Toyota Corolla Altis 2.0 V Sedan,"RM 52,800",Toyota Corolla Altis,77500.0,Automatic,"Kuala Lumpur, Batu Caves / Selayang",52800.0,2017.0,Kuala Lumpur,Toyota,Asian,2.0,8.0,10.874285408908944,9687.5,0
2018 Lexus IS 300 2.0 Premium Sedan,"RM 149,000",Lexus IS 300,57500.0,Automatic,"Selangor, Petaling Jaya",149000.0,2018.0,Selangor,Lexus,Asian,2.0,7.0,11.91170829631447,8214.285714285714,0
2017 Volvo XC90 2.0 T8 Twin Engine SUV - T8 POLESTAR Twin Engine Full Service Record Ori White Paint Superb Condition,"RM 83,333",Volvo XC90,92500.0,Automatic,"Selangor, Cheras",83333.0,2017.0,Selangor,Volvo,Continental,2.0,8.0,11.330611908144274,11562.5,0
2009 Toyota Vellfire 2.4 Z MPV - HIGH SPEC MASIH BOLEH LOAN 4 TAHUN,"RM 46,800",Toyota Vellfire,162500.0,Automatic,"Kuala Lumpur, Kepong",46800.0,2009.0,Kuala Lumpur,Toyota,Asian,2.4,16.0,10.753659849198824,10156.25,0
2018 Isuzu D-Max 2.5 Premium (with 6 Airbags) Pickup - (A) PREMIUM 4JK TD VGS TURBO INTERCOOLER 4X4 PICK-UP TRUCK,"RM 58,800",Isuzu D-Max,107500.0,Automatic,"Selangor, Kajang",58800.0,2018.0,Selangor,Isuzu,Asian,2.5,7.0,10.981914140544825,15357.142857142857,0
2020 Subaru XV 2.0 GT Edition SUV - 5-Years Warranty,"RM 61,800",Subaru XV,87500.0,Automatic,"Perak, Ipoh",61800.0,2020.0,Perak,Subaru,Asian,2.0,5.0,11.031674824544641,17500.0,1
2024 Volvo XC40 Recharge P8 Ultimate Pure Electric SUV - 0.0,"RM 165,000",Volvo XC40,22500.0,Automatic,"Selangor, Subang Jaya",165000.0,2024.0,Selangor,Volvo,Continental,0.0,1.0,12.013706813470414,22500.0,0
2010 Honda Civic 2.0 Type R Sedan - IMPORT BARU,"RM 109,000",Honda Civic,82500.0,Manual,"Selangor, Petaling Jaya",109000.0,2010.0,Selangor,Honda,Asian,2.0,15.0,11.599112335481124,5500.0,0
2022 Perodua Ativa 1.0 H SUV - UNDER WARRANTY UNTIL 04 2027,"RM 47,800",Perodua Ativa,67500.0,Automatic,"Kuala Lumpur, Batu Caves / Selayang",47800.0,2022.0,Kuala Lumpur,Perodua,Asian,1.0,3.0,10.774801838762809,22500.0,1
2024 Proton X50 1.5 Premium SUV - Full Service Record 22K Warranty till 2029 360 Camera Full Leather Seat Power Seat Apps Keystart Apps Start,"RM 67,800",Proton X50,22500.0,Automatic,"Selangor, Seri Kembangan",67800.0,2024.0,Selangor,Proton,Asian,1.5,1.0,11.124332223082254,22500.0,1
2017 Perodua AXIA 1.0 Advance Hatchback,"RM 27,400",Perodua AXIA,127500.0,Automatic,"Terengganu, Kuala Terengganu",27400.0,2017.0,Terengganu,Perodua,Asian,1.0,8.0,10.21833478806055,15937.5,0
2025 MINI Countryman 2.0 John Cooper Works ALL4 Panoramic Sunroof SUV,"RM 348,000",MINI Countryman,12500.0,Automatic,"Kuala Lumpur, Chan Sow Lin",348000.0,2025.0,Kuala Lumpur,MINI,Continental,2.0,0.0,12.759960632315702,12500.0,0
2019 Perodua Bezza 1.3 X Premium Sedan,"RM 33,800",Perodua Bezza,62500.0,Automatic,"Johor, Johor Bahru",33800.0,2019.0,Johor,Perodua,Asian,1.3,6.0,10.428245666832275,10416.666666666666,0
2018 Honda BR-V 1.5 V SUV,"RM 45,400",Honda BR-V,57500.0,Automatic,"Kedah, Alor Setar",45400.0,2018.0,Kedah,Honda,Asian,1.5,7.0,10.723289410218579,8214.285714285714,0
2018 Honda Accord 2.0 VTi-L Sedan,"RM 54,800",Honda Accord,87500.0,Automatic,"Kuala Lumpur, Batu Caves / Selayang",54800.0,2018.0,Kuala Lumpur,Honda,Asian,2.0,7.0,10.911463720944793,12500.0,0
2017 Toyota Innova 2.0 G MPV - (HOT DEAL),"RM 68,400",Toyota Innova,112500.0,Automatic,"Perak, Ipoh",68400.0,2017.0,Perak,Toyota,Asian,2.0,8.0,11.133142723386813,14062.5,0
2024 Toyota Land Cruiser 3.3 J300 ZX SUV,"RM 438,000",Toyota Land Cruiser,42500.0,Automatic,"Negeri Sembilan, Seremban",438000.0,2024.0,Negeri Sembilan,Toyota,Asian,3.3,1.0,12.989976472461,42500.0,0
2014 Mercedes-Benz C200 2.0 AMG Line Sedan,"RM 54,800",Mercedes-Benz C200,87500.0,Automatic,"Kuala Lumpur, Batu Caves / Selayang",54800.0,2014.0,Kuala Lumpur,Mercedes-Benz,Continental,2.0,11.0,10.911463720944793,7954.545454545455,0
2015 Mercedes-Benz S400 3.5 Hybrid Sedan,"RM 82,000",Mercedes-Benz S400,72500.0,Automatic,"Selangor, Balakong",82000.0,2015.0,Selangor,Mercedes-Benz,Continental,3.5,10.0,11.314486721293981,7250.0,0
2014 Honda Odyssey 2.4 EXV MPV - FULL SERVICE RECORD LOCAL SPEC 3 YEAR WARRANTY,"RM 64,800",Honda Odyssey,107500.0,Automatic,"Selangor, Seri Kembangan",64800.0,2014.0,Selangor,Honda,Asian,2.4,11.0,11.079076314320059,9772.727272727272,1
2011/2015 Toyota Vellfire 2.4 Z MPV,"RM 55,800",Toyota Vellfire,92500.0,Automatic,"Kuala Lumpur, Batu Caves / Selayang",55800.0,2011.0,Kuala Lumpur,Toyota,Asian,2.4,14.0,10.929547069355774,6607.142857142857,0
2021 Perodua Myvi 1.5 AV Hatchback - ADVANCE FULL SERVICE 54K KM WARRANTY TILL 2026 PRE COLLISION KEYLESS ENTRT BUILT IN SMART TAG,"RM 38,700",Perodua Myvi,52500.0,Automatic,"Selangor, Seri Kembangan",38700.0,2021.0,Selangor,Perodua,Asian,1.5,4.0,10.563620718477313,13125.0,1
2021 BMW 530e 2.0 M Sport Sedan - G30 LCI FACELIFT FULL SERVICE 4xK KM WARRANTY FREE SERVICE TILL 2026 HYBRID WARRANTY TILL 2027 PARK ASSIST PACKAGE,"RM 139,800",BMW 530e,52500.0,Automatic,"Selangor, Seri Kembangan",139800.0,2021.0,Selangor,BMW,Continental,2.0,4.0,11.847975261832087,13125.0,1
2020 BMW 330i 2.0 M Sport Driving Assist Pack Sedan - CHRISTMAS SALE -- LOW MILEAGE -- - FULL SERVICE 6xK km - M SPORT - CALIPER - G20 B48,"RM 139,800",BMW 330i,62500.0,Automatic,"Selangor, Seri Kembangan",139800.0,2020.0,Selangor,BMW,Continental,2.0,5.0,11.847975261832087,12500.0,0
2017 Toyota Vellfire 2.5 ZG MPV,"RM 125,800",Toyota Vellfire,77500.0,Automatic,"Kuala Lumpur, Batu Caves / Selayang",125800.0,2017.0,Kuala Lumpur,Toyota,Asian,2.5,8.0,11.74245657234248,9687.5,0
2020 Perodua Myvi 1.3 X Hatchback - (A) Full Service Mileage 59K only Pre-crash Adjustable Foldable Side Mirrow 1 Lady Owner Extended Warranty,"RM 32,800",Perodua Myvi,57500.0,Automatic,"Selangor, Seri Kembangan",32800.0,2020.0,Selangor,Perodua,Asian,1.3,5.0,10.39821428171237,11500.0,1
2016 Mercedes-Benz E200 2.0 AMG Sedan - BUMPER SPORT RIM STREERING 2 ELECTRONIC SEAT 2 MEMORY SEAT TAMAN EQUINE AREA,"RM 89,900",Mercedes-Benz E200,92500.0,Automatic,"Selangor, Seri Kembangan",89900.0,2016.0,Selangor,Mercedes-Benz,Continental,2.0,9.0,11.40646434386837,10277.777777777777,0
2017 Mercedes-Benz GLA250 2.0 4MATIC AMG Line SUV - 4MATIC AMG FACELIFT Power Boot Alcantara Seat Dual Memory Power Seat Paddle Shift 4MATIC AMG Steering SPORT Mode,"RM 74,800",Mercedes-Benz GLA250,117500.0,Automatic,"Selangor, Seri Kembangan",74800.0,2017.0,Selangor,Mercedes-Benz,Continental,2.0,8.0,11.222586532857163,14687.5,0
2020 Toyota Camry 2.5 V Sedan - F Service 1Owner Like New,"RM 114,800",Toyota Camry,77500.0,Automatic,"Perak, Sitiawan",114800.0,2020.0,Perak,Toyota,Asian,2.5,5.0,11.650955473631058,15500.0,0
2020 Nissan Almera 1.5 E Sedan - Low Mileage 52K KM New facelift streering Daylight,"RM 29,700",Nissan Almera,52500.0,Automatic,"Selangor, Seri Kembangan",29700.0,2020.0,Selangor,Nissan,Asian,1.5,5.0,10.298935994257638,10500.0,0
2010 Toyota Camry 2.0 G Sedan,"RM 23,800",Toyota Camry,102500.0,Automatic,"Kuala Lumpur, Batu Caves / Selayang",23800.0,2010.0,Kuala Lumpur,Toyota,Asian,2.0,15.0,10.077482875583607,6833.333333333333,0
2021 Honda HR-V 1.8 V SUV - FACELIFT ENHANCED (A) F.S.R By WARRANTY BY LANE WATCH REVERSE CAMERA ONE OWNER,"RM 67,700",Honda HR-V,72500.0,Automatic,"Selangor, Seri Kembangan",67700.0,2021.0,Selangor,Honda,Asian,1.8,4.0,11.12285622984002,18125.0,1
2018 Perodua Myvi 1.5 AV Hatchback - ANDROID PLAYER SPORT RIM TWIN EXHAUST ORIGINAL CONDITION DECEMBER SALE SPECIAL OFFER,"RM 33,800",Perodua Myvi,92500.0,Automatic,"Selangor, Seri Kembangan",33800.0,2018.0,Selangor,Perodua,Asian,1.5,7.0,10.428245666832275,13214.285714285714,0
2018 Mercedes-Benz GLA250 2.0 4MATIC AMG Line SUV - Power Boot Reverse camera,"RM 82,888",Mercedes-Benz GLA250,82500.0,Automatic,"Selangor, Cheras",82888.0,2018.0,Selangor,Mercedes-Benz,Continental,2.0,7.0,11.325257642331353,11785.714285714286,0
2020 BMW X1 1.5 sDrive18i SUV - F48 SPORT LCI FACELIFT (A) FULL SERVICE RECORD LCI DAYLIGHTS POWER BOOT REVERSE CAMERA TURBO,"RM 72,800",BMW X1,87500.0,Automatic,"Selangor, Seri Kembangan",72800.0,2020.0,Selangor,BMW,Continental,1.5,5.0,11.195484970354173,17500.0,0
"2019 BMW X3 2.0 xDrive30i Luxury SUV - G01 (A) DIGITAL METER, POWER BOOT, REVERSE CAMERA, MEMORY SEAT, ONE OWNER,","RM 87,800",BMW X3,52500.0,Automatic,"Selangor, Seri Kembangan",87800.0,2019.0,Selangor,BMW,Continental,2.0,6.0,11.382828169079987,8750.0,0
2014 Honda Accord 2.4 VTi-L Sedan - (A) ONE OWNER LANE WATCH REVERSE CAMERA FULL LEATHER SEAT PADDLE SHIFT,"RM 33,800",Honda Accord,132500.0,Automatic,"Selangor, Seri Kembangan",33800.0,2014.0,Selangor,Honda,Asian,2.4,11.0,10.428245666832275,12045.454545454546,0
2016/2019 Mercedes-Benz A180 1.6 AMG Hatchback - MERCEDES BENZ FACELIFT TURBO (W176) ONE LADY OWNER MEMORY SEAT REVERSE CAMERA ALCANTARA SEAT Register 2019,"RM 65,800",Mercedes-Benz A180,92500.0,Automatic,"Selangor, Seri Kembangan",65800.0,2016.0,Selangor,Mercedes-Benz,Continental,1.6,9.0,11.094390314766315,10277.777777777777,0
2021 Proton X70 1.8 Executive SUV - FSR 360 CAMERA POWER BOOT FULL LEATHER SEAT POWER SEAT,"RM 48,700",Proton X70,92500.0,Automatic,"Selangor, Seri Kembangan",48700.0,2021.0,Selangor,Proton,Asian,1.8,4.0,10.793454842740767,23125.0,0
2024 Kia Carnival 2.2 11 Seater MPV - UNDER WARRANTY UNTIL JUNE 2030,"RM 158,800",Kia Carnival,2500.0,Automatic,"Kuala Lumpur, Batu Caves / Selayang",158800.0,2024.0,Kuala Lumpur,Kia,Asian,2.2,1.0,11.975407125004564,2500.0,1
2015 Mazda 6 2.0 SKYACTIV-G Sedan - (A) E-BRAKE NICE PLATE NUMBER 5656,"RM 37,800",Mazda 6,122500.0,Automatic,"Selangor, Puchong",37800.0,2015.0,Selangor,Mazda,Asian,2.0,10.0,10.540090836284206,12250.0,0
2020 Perodua Myvi 1.5 AV Hatchback - (A) 2-Years Warranty,"RM 38,800",Perodua Myvi,57500.0,Automatic,"Perak, Sitiawan",38800.0,2020.0,Perak,Perodua,Asian,1.5,5.0,10.566201298475118,11500.0,1
2014 Mercedes-Benz A180 1.6 AMG Hatchback - 45 kit loan kedai,"RM 49,800",Mercedes-Benz A180,82500.0,Automatic,"Selangor, Seri Kembangan",49800.0,2014.0,Selangor,Mercedes-Benz,Continental,1.6,11.0,10.815790343132422,7500.0,0
2019 Perodua Myvi 1.5 AV Hatchback - loan kedai,"RM 32,800",Perodua Myvi,67500.0,Automatic,"Selangor, Seri Kembangan",32800.0,2019.0,Selangor,Perodua,Asian,1.5,6.0,10.39821428171237,11250.0,0
2013 Perodua Alza 1.5 EZi MPV - AUTO,"RM 23,800",Perodua Alza,132500.0,Automatic,"Johor, Johor Bahru",23800.0,2013.0,Johor,Perodua,Asian,1.5,12.0,10.077482875583607,11041.666666666666,0
2015 Mercedes-Benz S400L h 3.5 Sedan - ChauffeurSpec Long Wheelbase Nautical Blue Metallic Black Leather Genuine 47k KM Done Accident Free Prestige certified,"RM 86,868",Mercedes-Benz S400L h,47500.0,Automatic,"Kuala Lumpur, Chan Sow Lin",86868.0,2015.0,Kuala Lumpur,Mercedes-Benz,Continental,3.5,10.0,11.372156515733812,4750.0,0
2024 Suzuki Jimny 1.5 ALLGRIP PRO Black Edition SUV - JB74 FULL SERVICE 17K UNDER WARRANTY ORI CARBON FIBER LOCAL UNIT SINGLE CAREFUL OWNER,"RM 135,800",Suzuki Jimny,17500.0,Automatic,"Selangor, Seri Kembangan",135800.0,2024.0,Selangor,Suzuki,Asian,1.5,1.0,11.81894585784987,17500.0,1
2020 Perodua Myvi 1.5 H Hatchback - D20H SMART TAG SPORT SPRING SINGLE CAREFUL LADY OWNER,"RM 34,700",Perodua Myvi,97500.0,Automatic,"Selangor, Seri Kembangan",34700.0,2020.0,Selangor,Perodua,Asian,1.5,5.0,10.454523783963511,19500.0,0
2008 Honda Accord 2.0 VTi Sedan - NEW FACELIFT,"RM 18,800",Honda Accord,242500.0,Automatic,"Johor, Johor Bahru",18800.0,2008.0,Johor,Honda,Asian,2.0,17.0,9.841665338892785,14264.70588235294,0
2018/2021 MINI Clubman 2.0 John Cooper Works Wagon - JCW F54 LOW MILEAGE PANORAMIC HARMAN KARDON HUD FULL SPEC SINGLE CAREFUL OWNER,"RM 128,800",MINI Clubman,82500.0,Automatic,"Selangor, Seri Kembangan",128800.0,2018.0,Selangor,MINI,Continental,2.0,7.0,11.766023856597407,11785.714285714286,0
"2019 Nissan Almera 1.5 E Black Series Sedan - AUTO FACELIFT , ANDROID PLAYER , TOMEI BODYKIT , BOLEH LOAN 9 TAHUN , NO MAJOR ACCIDENT NO FLOOD NOT GRAB","RM 27,800",Nissan Almera,57500.0,Automatic,"Selangor, Seri Kembangan",27800.0,2019.0,Selangor,Nissan,Asian,1.5,6.0,10.232827270254802,9583.333333333334,0
2021 Honda City 1.5 E Sedan - LOW MILLEAGE 40KKM LADY OWNER,"RM 55,500",Honda City,47500.0,Automatic,"Selangor, Seri Kembangan",55500.0,2021.0,Selangor,Honda,Asian,1.5,4.0,10.92415631759022,11875.0,0
2018 BMW 330e 2.0 M Sport Sedan - LCI FACELIFT FULL SERVICE RECORD STEERING SUNROOF FULL CAR LEATHER SEAT BLACK INTERIOR,"RM 44,800",BMW 330e,92500.0,Automatic,"Selangor, Kajang",44800.0,2018.0,Selangor,BMW,Continental,2.0,7.0,10.709985739582528,13214.285714285714,0
2018 Mercedes-Benz GLC250 2.0 4MATIC AMG Line SUV - F S RECORD C C 80K KM,"RM 99,800",Mercedes-Benz GLC250,82500.0,Automatic,"Selangor, Seri Kembangan",99800.0,2018.0,Selangor,Mercedes-Benz,Continental,2.0,7.0,11.510933482289435,11785.714285714286,0
2021 Toyota Vios 1.5 G Sedan - FACELIFT FULL SERVICE RECORD 360 CAMERA PADDLE SHIFT LKA PRE-CRASH LOW INTEREST 2 DAY DELIVERED,"RM 55,700",Toyota Vios,72500.0,Automatic,"Selangor, Seri Kembangan",55700.0,2021.0,Selangor,Toyota,Asian,1.5,4.0,10.92775337907558,18125.0,0
2020 BMW X3 2.0 xDrive30i M Sport SUV - FULL SERVICE 60K KM 1 OWNER,"RM 123,800",BMW X3,67500.0,Automatic,"Selangor, Seri Kembangan",123800.0,2020.0,Selangor,BMW,Continental,2.0,5.0,11.726430716744437,13500.0,0
2023 Honda Accord 1.5 TC Sedan - UNDER WARRANTY,"RM 122,800",Honda Accord,77500.0,Automatic,"Selangor, Petaling Jaya",122800.0,2023.0,Selangor,Honda,Asian,1.5,2.0,11.718320437984499,38750.0,1
2024 Perodua AXIA 1.0 SE Hatchback - (a) ON THE ROAD FULL RVICE RECORD 2XK UNDER WARRANTY 2029 NEW CAR INTEREST PRE-OWN UNIT,"RM 38,900",Perodua AXIA,22500.0,Automatic,"Kuala Lumpur, Sungai Besi",38900.0,2024.0,Kuala Lumpur,Perodua,Asian,1.0,1.0,10.568775236216993,22500.0,1
2019 Mazda Roadster 2.0 RF Convertible,"RM 159,800",Mazda Roadster,42500.0,Automatic,"Selangor, Petaling Jaya",159800.0,2019.0,Selangor,Mazda,Asian,2.0,6.0,11.98168457011701,7083.333333333333,0
2019 Daihatsu Tanto 0.7 Custom RS Micro car - Custom 2 POWER DOOR 360 CAMERA 1 OWNER,"RM 66,800",Daihatsu Tanto,27500.0,Automatic,"Selangor, Seri Kembangan",66800.0,2019.0,Selangor,Daihatsu,Asian,0.7,6.0,11.109473329472568,4583.333333333333,0
2022 Honda HR-V 1.5 V SUV - HRV FULL SERVICE RECORD UNDER WARRANTY FULL BODY KIT SENSING WIRELESS CHARGER SINGLE LADY CAREFUL OWNER,"RM 94,800",Honda HR-V,52500.0,Automatic,"Selangor, Seri Kembangan",94800.0,2022.0,Selangor,Honda,Asian,1.5,3.0,11.459535236710686,17500.0,1
"2022 Perodua Ativa 1.0 AV SUV - (A) FULL SERVICE , MILEAGE ONLY 50,000KM , WARRANTY END 2027 , HIGH L0AN , DOOR TO DOOR SERVICE","RM 49,868",Perodua Ativa,47500.0,Automatic,"Kuala Lumpur, Sentul",49868.0,2022.0,Kuala Lumpur,Perodua,Asian,1.0,3.0,10.81715484620357,15833.333333333334,1
2023 Mazda 3 2.0 SKYACTIV-G High Plus Hatchback - LIFTBACK FULL SERVICE UNDER WARRANTY SUNROOF MEMORY SEAT DRIVER ASSIST HUD SINGLE CAREFUL OWNER,"RM 131,800",Mazda 3,57500.0,Automatic,"Selangor, Seri Kembangan",131800.0,2023.0,Selangor,Mazda,Asian,2.0,2.0,11.789048488275174,28750.0,1
2023 Mercedes-Benz GLE450 3.0 4MATIC AMG Line SUV - V167 FULL SERVICE RECORD 9K UNDER WARRANTY UNTIL 2027 PANORAMIC BURMESTER SINGLE VVIP OWNER,"RM 359,800",Mercedes-Benz GLE450,7500.0,Automatic,"Selangor, Seri Kembangan",359800.0,2023.0,Selangor,Mercedes-Benz,Continental,3.0,2.0,12.793306379816553,3750.0,1
2018 Honda Civic 1.8 S Sedan - Auto New Facelift,"RM 63,800",Honda Civic,92500.0,Automatic,"Johor, Johor Bahru",63800.0,2018.0,Johor,Honda,Asian,1.8,7.0,11.063524143191238,13214.285714285714,0
2022 Nissan Almera 1.0 VL Sedan - FULL SERVICE RECORD 6XK T FACELIFT FULL BODYKIT 2 TONE INTERIOR TURBO MODEL,"RM 50,700",Nissan Almera,62500.0,Automatic,"Kuala Lumpur, Sungai Besi",50700.0,2022.0,Kuala Lumpur,Nissan,Asian,1.0,3.0,10.83370091325064,20833.333333333332,0
2015 Mercedes-Benz C180 1.6 AMG Sports Package Sedan - AMG W205 JAPAN Spec Pre Safe Burmester Keyless (1 Owner),"RM 68,800",Mercedes-Benz C180,82500.0,Automatic,"Selangor, Seri Kembangan",68800.0,2015.0,Selangor,Mercedes-Benz,Continental,1.6,10.0,11.138973558699526,8250.0,0
2023 Perodua Bezza 1.0 G Sedan - AUTO D24L FACELIFT FULL SERVICE RECORD UNDER WARRANTY ON THE ROAD PRICE SINGLE LADY OWNER,"RM 32,800",Perodua Bezza,42500.0,Automatic,"Selangor, Seri Kembangan",32800.0,2023.0,Selangor,Perodua,Asian,1.0,2.0,10.39821428171237,21250.0,1
2021 Honda Civic 1.8 S Sedan - (A) 1Owner Macam Baru,"RM 76,800",Honda Civic,77500.0,Automatic,"Perak, Sitiawan",76800.0,2021.0,Perak,Honda,Asian,1.8,4.0,11.248972939884327,19375.0,0
"2016/2019 Mercedes-Benz A180 1.6 AMG Hatchback - W176 CBU JAPAN SPEC 7G , STEERING WHEEL , FACELIFT HEAD LIGHT , ADAPTIVE CRUISE , BLIND SPOT , LANE KEEP","RM 63,700",Mercedes-Benz A180,92500.0,Automatic,"Selangor, Seri Kembangan",63700.0,2016.0,Selangor,Mercedes-Benz,Continental,1.6,9.0,11.06195554002416,10277.777777777777,0
2016 Perodua Alza 1.5 Advance MPV - FACELIFT REUNION MILLAGE 3 YEARS WARRANTY FULL CAR LEATHER SEAT REAR ENTERTAIMENT,"RM 29,700",Perodua Alza,122500.0,Automatic,"Kuala Lumpur, Sungai Besi",29700.0,2016.0,Kuala Lumpur,Perodua,Asian,1.5,9.0,10.298935994257638,13611.111111111111,1
2022 BMW 320i 2.0 M Sport Runout Edition Sedan - M Sport Edition FULL SERVICE LOW MILEAGE 66K MILEAGE M SPORT STREERING M SPORT SPORT RIM AA AC FULL DIGIT,"RM 146,800",BMW 320i,67500.0,Automatic,"Selangor, Seri Kembangan",146800.0,2022.0,Selangor,BMW,Continental,2.0,3.0,11.896833207128452,22500.0,0
2020 Mercedes-Benz C300 2.0 AMG Line Sedan,"RM 141,800",Mercedes-Benz C300,52500.0,Automatic,"Johor, Johor Bahru",141800.0,2020.0,Johor,Mercedes-Benz,Continental,2.0,5.0,11.862179945241476,10500.0,0
2025 Chery Omoda 9 2.0 - SUV - T AWD 63KM MILEAGE UNDER WARRANTY FREE SERVICE LUCKY DRAW CAR PANORAMIC HUD SONY DRIVER ASSIST SPORT 540 CAM NEW CAR CONDITION,"RM 159,800",Chery Omoda 9,2500.0,Automatic,"Selangor, Seri Kembangan",159800.0,2025.0,Selangor,Chery,Asian,2.0,0.0,11.98168457011701,2500.0,1
2015 Perodua AXIA 1.0 SE (Metallic) Hatchback - SE AUTO,"RM 20,800",Perodua AXIA,87500.0,Automatic,"Johor, Johor Bahru",20800.0,2015.0,Johor,Perodua,Asian,1.0,10.0,9.942756341456828,8750.0,0
2020 BMW 218i 1.5 M Sport Coupe - FULL SERVICE GENUINE MILEAGE 74K KM,"RM 97,800",BMW 218i,72500.0,Automatic,"Penang, USM Pulau Pinang",97800.0,2020.0,Penang,BMW,Continental,1.5,5.0,11.49069008091951,14500.0,0
2017/2020 Toyota Harrier 2.0 Premium SUV - NewFacelift,"RM 86,800",Toyota Harrier,117500.0,Automatic,"Johor, Johor Bahru",86800.0,2017.0,Johor,Toyota,Asian,2.0,8.0,11.371373421319406,14687.5,0
2022 Proton X50 1.5 Executive SUV - 1OWNER MACAM BARU,"RM 53,800",Proton X50,67500.0,Automatic,"Perak, Sitiawan",53800.0,2022.0,Perak,Proton,Asian,1.5,3.0,10.893047333337728,22500.0,0
2005 Toyota Avanza 1.3 MPV,"RM 9,800",Toyota Avanza,152500.0,Manual,"Penang, Perai",9800.0,2005.0,Penang,Toyota,Asian,1.3,20.0,9.19023970026918,7625.0,0
2023 Mercedes-Benz GLC300 2.0 4MATIC AMG Line SUV - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 295,000",Mercedes-Benz GLC300,7500.0,Automatic,"Selangor, Shah Alam",295000.0,2023.0,Selangor,Mercedes-Benz,Continental,2.0,2.0,12.59473402514672,3750.0,0
2015 Mazda CX-5 2.0 SKYACTIV-G SUV,"RM 35,800",Mazda CX-5,112500.0,Automatic,"Johor, Johor Bahru",35800.0,2015.0,Johor,Mazda,Asian,2.0,10.0,10.485731104959568,11250.0,0
2019 Mercedes-Benz E200 2.0 Avantgarde Sedan - GENUINE 89K KM MILEAGE,"RM 119,800",Mercedes-Benz E200,87500.0,Automatic,"Penang, USM Pulau Pinang",119800.0,2019.0,Penang,Mercedes-Benz,Continental,2.0,6.0,11.693587311874056,14583.333333333334,0
2018 Nissan Serena 2.0 S-Hybrid High-Way Star MPV,"RM 65,800",Nissan Serena,82500.0,Automatic,"Johor, Skudai",65800.0,2018.0,Johor,Nissan,Asian,2.0,7.0,11.094390314766315,11785.714285714286,0
2023 Nissan Serena 2.0 S-Hybrid High-Way Star Premium MPV - WARRANTY,"RM 105,800",Nissan Serena,77500.0,Automatic,"Penang, USM Pulau Pinang",105800.0,2023.0,Penang,Nissan,Asian,2.0,2.0,11.569315250157509,38750.0,1
2016 Toyota Vellfire 2.5 ZG MPV - (A) SUNROOF UPGRADED FACELIFT,"RM 136,800",Toyota Vellfire,122500.0,Automatic,"Penang, Gelugor",136800.0,2016.0,Penang,Toyota,Asian,2.5,9.0,11.82628259408539,13611.111111111111,0
2020 Nissan Almera 1.5 E Black Series Sedan - Black Edition 2-Years Warranty,"RM 33,800",Nissan Almera,72500.0,Automatic,"Perak, Ipoh",33800.0,2020.0,Perak,Nissan,Asian,1.5,5.0,10.428245666832275,14500.0,1
2021 Honda BR-V 1.5 E SUV - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 52,000",Honda BR-V,57500.0,Automatic,"Selangor, Shah Alam",52000.0,2021.0,Selangor,Honda,Asian,1.5,4.0,10.859018228147887,14375.0,0
2022/2023 Toyota Alphard 3.5 MPV - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 218,000",Toyota Alphard,37500.0,Automatic,"Selangor, Shah Alam",218000.0,2022.0,Selangor,Toyota,Asian,3.5,3.0,12.292254928916668,12500.0,0
2024 Honda WR-V 1.5 V SUV - WARRANTY 2029 LANE WATCH FULL LEATHER ELECTRIC SEAT PADDLE SHIFT CRUISE CONTROL REVERSE CAMERA CARPLAY,"RM 103,800",Honda WR-V,22500.0,Automatic,"Kuala Lumpur, Cheras",103800.0,2024.0,Kuala Lumpur,Honda,Asian,1.5,1.0,11.550230883578887,22500.0,1
