Description,List_Price,Model,Mileage,Gear_Type,Location,Price,Year,State,Brand,Origin,Engine_L,Car_Age,Log_Price,Annual_Mileage,Has_Warranty
2019 Proton Saga 1.3 Premium Sedan - END YEARS SALES,"RM 29,000",Proton Saga,87500.0,Automatic,"Negeri Sembilan, Seremban",29000.0,2019.0,Negeri Sembilan,Proton,Asian,1.3,6.0,10.275085591132715,14583.333333333334,0
2018 Honda City 1.5 S Sedan - END YEARS SALES,"RM 43,200",Honda City,112500.0,Automatic,"Negeri Sembilan, Seremban",43200.0,2018.0,Negeri Sembilan,Honda,Asian,1.5,7.0,10.673618922112436,16071.42857142857,0
2012 Volkswagen Polo 1.4 GTI 5 Door Hatchback - RECARO SEATS SUNROOF 4DOOR,"RM 30,800",Volkswagen Polo,97500.0,Automatic,"Kuala Lumpur, Sungai Besi",30800.0,2012.0,Kuala Lumpur,Volkswagen,Continental,1.4,13.0,10.335302435967074,7500.0,0
2012 Volkswagen Golf 2.0 R Hatchback - Sunroof Push Start,"RM 61,800",Volkswagen Golf,157500.0,Automatic,"Kuala Lumpur, Sungai Besi",61800.0,2012.0,Kuala Lumpur,Volkswagen,Continental,2.0,13.0,11.031674824544641,12115.384615384615,0
2019 Honda City 1.5 S Sedan - F Service 5-Years Warranty,"RM 42,800",Honda City,77500.0,Automatic,"Perak, Ipoh",42800.0,2019.0,Perak,Honda,Asian,1.5,6.0,10.664316745782925,12916.666666666666,1
2013 Foton View 2.2 High Roof Window Van - (M) Window Petrol 14Seat HIGH ROOF,"RM 23,800",Foton View,102500.0,Manual,"Selangor, Serdang",23800.0,2013.0,Selangor,Foton,Asian,2.2,12.0,10.077482875583607,8541.666666666666,0
2019 Nissan Almera 1.5 E Sedan - Service Record,"RM 26,800",Nissan Almera,82500.0,Automatic,"Kuala Lumpur, Sungai Besi",26800.0,2019.0,Kuala Lumpur,Nissan,Asian,1.5,6.0,10.196194479235656,13750.0,0
2017 Proton Iriz 1.6 Premium Hatchback - (A) PUSH START REVERSE CAMERA,"RM 17,800",Proton Iriz,72500.0,Automatic,"Kuala Lumpur, Sungai Besi",17800.0,2017.0,Kuala Lumpur,Proton,Asian,1.6,8.0,9.787009914477434,9062.5,0
2021 BMW 320i 2.0 Sport Sedan - Full Service Record Under Warranty,"RM 115,800",BMW 320i,67500.0,Automatic,"Kuala Lumpur, Sungai Besi",115800.0,2021.0,Kuala Lumpur,BMW,Continental,2.0,4.0,11.659628479662329,16875.0,1
2019 Honda CR-V 2.0 SUV - AT Excellent Condition,"RM 69,888",Honda CR-V,87500.0,Automatic,"Johor, Johor Bahru",69888.0,2019.0,Johor,Honda,Asian,2.0,6.0,11.154663548170214,14583.333333333334,0
2018 Toyota Harrier 2.0 Premium SUV - T TURBO FULL SERVICE TIP TOP,"RM 103,999",Toyota Harrier,127500.0,Automatic,"Kuala Lumpur, Sungai Besi",103999.0,2018.0,Kuala Lumpur,Toyota,Asian,2.0,7.0,11.55214617812351,18214.285714285714,0
2017 Hyundai Grand Starex 2.5 Royale MPV - Starex (A) 5-Years Warranty,"RM 63,800",Hyundai Grand Starex,92500.0,Automatic,"Perak, Sitiawan",63800.0,2017.0,Perak,Hyundai,Asian,2.5,8.0,11.063524143191238,11562.5,1
2017 Mercedes-Benz C200 2.0 AMG Line Sedan - TIP TOP FULL SERVICE,"RM 84,999",Mercedes-Benz C200,82500.0,Automatic,"Kuala Lumpur, Sungai Besi",84999.0,2017.0,Kuala Lumpur,Mercedes-Benz,Continental,2.0,8.0,11.350406535472453,10312.5,0
2019 Toyota Corolla Altis 1.8 G Sedan - Facelift Reverse Camera Push Start,"RM 62,800",Toyota Corolla Altis,77500.0,Automatic,"Kuala Lumpur, Sungai Besi",62800.0,2019.0,Kuala Lumpur,Toyota,Asian,1.8,6.0,11.047726275896391,12916.666666666666,0
2019 Mazda CX-5 2.5 SKYACTIV-G High SUV - FULL SERVICE TIP TOP,"RM 75,999",Mazda CX-5,77500.0,Automatic,"Kuala Lumpur, Sungai Besi",75999.0,2019.0,Kuala Lumpur,Mazda,Asian,2.5,6.0,11.238488619268468,12916.666666666666,0
2018 BMW 530e 2.0 Sport Line iPerformance Sedan - (LOAN KEDAI LOAN BANK LOAN CREDIT),"RM 79,800",BMW 530e,82500.0,Automatic,"Selangor, Kajang",79800.0,2018.0,Selangor,BMW,Continental,2.0,7.0,11.287291314687705,11785.714285714286,0
2022 BMW X3 2.0 xDrive30i M Sport SUV - Private Owner,"RM 198,000",BMW X3,47500.0,Automatic,"Selangor, Subang Jaya",198000.0,2022.0,Selangor,BMW,Continental,2.0,3.0,12.19602736016897,15833.333333333334,0
2023 Proton Iriz 1.6 Executive Hatchback - (A) Facelift 1Owner Like New,"RM 31,800",Proton Iriz,47500.0,Automatic,"Perak, Ipoh",31800.0,2023.0,Perak,Proton,Asian,1.6,2.0,10.367253014814716,23750.0,0
2018/2020 Land Rover Range Rover 3.0 TDV6 Vogue SE SUV - DIESEL,"RM 228,800",Land Rover Range Rover,92500.0,Automatic,"Kuala Lumpur, Sungai Besi",228800.0,2018.0,Kuala Lumpur,Land Rover,Continental,3.0,7.0,12.3406079091076,13214.285714285714,0
2018 Toyota Hilux 2.4 L-Edition Dual Cab Pickup - FACELIFT TIP TOP,"RM 75,999",Toyota Hilux,87500.0,Automatic,"Kuala Lumpur, Sungai Besi",75999.0,2018.0,Kuala Lumpur,Toyota,Asian,2.4,7.0,11.238488619268468,12500.0,0
2015 BMW 328i 2.0 M Sport Sedan - F30 BODYKIT 8SPEED,"RM 60,800",BMW 328i,77500.0,Automatic,"Kuala Lumpur, Sungai Besi",60800.0,2015.0,Kuala Lumpur,BMW,Continental,2.0,10.0,11.015361515187424,7750.0,0
2015 Honda City 1.5 V Sedan - Reverse Camera Push Start,"RM 27,800",Honda City,97500.0,Automatic,"Kuala Lumpur, Sungai Besi",27800.0,2015.0,Kuala Lumpur,Honda,Asian,1.5,10.0,10.232827270254802,9750.0,0
2013 Mercedes-Benz C180 1.8 CGI Sedan - AMG Low Mileage Reverse Camera,"RM 40,800",Mercedes-Benz C180,87500.0,Automatic,"Kuala Lumpur, Sungai Besi",40800.0,2013.0,Kuala Lumpur,Mercedes-Benz,Continental,1.8,12.0,10.616461869895815,7291.666666666667,0
2021 Perodua AXIA 1.0 GXtra Hatchback,"RM 24,800",Perodua AXIA,87500.0,Automatic,"Kuala Lumpur, Sungai Besi",24800.0,2021.0,Kuala Lumpur,Perodua,Asian,1.0,4.0,10.118639253920785,21875.0,0
2018 BMW X1 2.0 sDrive20i SUV - Powerboot Reverse Camera,"RM 49,800",BMW X1,87500.0,Automatic,"Kuala Lumpur, Sungai Besi",49800.0,2018.0,Kuala Lumpur,BMW,Continental,2.0,7.0,10.815790343132422,12500.0,0
2016 Mercedes-Benz A250 2.0 Sport Hatchback - FACELIFT TIP TOP,"RM 73,999",Mercedes-Benz A250,102500.0,Automatic,"Kuala Lumpur, Sungai Besi",73999.0,2016.0,Kuala Lumpur,Mercedes-Benz,Continental,2.0,9.0,11.211820372186306,11388.888888888889,0
2016 Mercedes-Benz E200 2.0 Avantgarde Sedan - W213,"RM 79,800",Mercedes-Benz E200,82500.0,Automatic,"Kuala Lumpur, Sungai Besi",79800.0,2016.0,Kuala Lumpur,Mercedes-Benz,Continental,2.0,9.0,11.287291314687705,9166.666666666666,0
2012 Honda Insight 1.3 Hybrid Hatchback - Tiptop Condition,"RM 17,800",Honda Insight,97500.0,Automatic,"Selangor, Petaling Jaya",17800.0,2012.0,Selangor,Honda,Asian,1.3,13.0,9.787009914477434,7500.0,0
2020 Proton Saga 1.3 Premium Sedan - Low Mileage Reverse Camera,"RM 22,800",Proton Saga,37500.0,Automatic,"Kuala Lumpur, Sungai Besi",22800.0,2020.0,Kuala Lumpur,Proton,Asian,1.3,5.0,10.034559673629849,7500.0,0
"2022 Mazda CX-5 2.0 SKYACTIV-G High SUV - ,360 SURROUND CAMERA,POWERBOOT,PRE-CRASH,BLIND SPOT","RM 102,800",Mazda CX-5,92500.0,Automatic,"Selangor, Puchong",102800.0,2022.0,Selangor,Mazda,Asian,2.0,3.0,11.540550359582348,30833.333333333332,0
2021 MINI Countryman 2.0 Cooper S SUV - (A) SERVICE RECORD,"RM 132,800",MINI Countryman,82500.0,Automatic,"Kuala Lumpur, Sungai Besi",132800.0,2021.0,Kuala Lumpur,MINI,Continental,2.0,4.0,11.796607046116602,20625.0,0
2021 Perodua Ativa 1.0 AV SUV - FULL SERVICE RECORD TIP TOP,"RM 46,999",Perodua Ativa,87500.0,Automatic,"Kuala Lumpur, Sungai Besi",46999.0,2021.0,Kuala Lumpur,Perodua,Asian,1.0,4.0,10.757902880692196,21875.0,0
2019 BMW X1 2.0 sDrive20i Sport Line SUV - (A) SERVICE RECORD,"RM 59,800",BMW X1,107500.0,Automatic,"Kuala Lumpur, Sungai Besi",59800.0,2019.0,Kuala Lumpur,BMW,Continental,2.0,6.0,10.998777662206932,17916.666666666668,0
2015 Mercedes-Benz A250 2.0 AMG Hatchback - TIP TOP,"RM 60,999",Mercedes-Benz A250,82500.0,Automatic,"Kuala Lumpur, Sungai Besi",60999.0,2015.0,Kuala Lumpur,Mercedes-Benz,Continental,2.0,10.0,11.018629143155449,8250.0,0
2017 Mercedes-Benz CLA180 1.6 AMG Coupe - TIP TOP FULL SERVICE,"RM 77,999",Mercedes-Benz CLA180,102500.0,Automatic,"Kuala Lumpur, Sungai Besi",77999.0,2017.0,Kuala Lumpur,Mercedes-Benz,Continental,1.6,8.0,11.26446410567173,12812.5,0
2013 Mercedes-Benz E250 2.0 AMG Sport Package Sedan,"RM 52,999",Mercedes-Benz E250,142500.0,Automatic,"Kuala Lumpur, Sungai Besi",52999.0,2013.0,Kuala Lumpur,Mercedes-Benz,Continental,2.0,12.0,10.87804719253426,11875.0,0
2011 Toyota Fortuner 2.7 V SUV - TRD VERY GOOD CONDITION,"RM 41,999",Toyota Fortuner,162500.0,Automatic,"Kuala Lumpur, Sungai Besi",41999.0,2011.0,Kuala Lumpur,Toyota,Asian,2.7,14.0,10.645424897265505,11607.142857142857,0
2017 Toyota Vellfire 2.5 ZG MPV - NewFacelift 360Camera,"RM 132,800",Toyota Vellfire,87500.0,Automatic,"Kuala Lumpur, Sungai Besi",132800.0,2017.0,Kuala Lumpur,Toyota,Asian,2.5,8.0,11.796607046116602,10937.5,0
